"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
9.400793493E1,4.483389436E1,-5.721364585E-1,1.533400726E1,6.223415799E1,3.247642219E-1,2.190593980E2,2.013475038E-1,2.500000000E1,3.000000000E0,-1.000000000E0
9.500792706E1,4.483389387E1,-5.721464034E-1,1.533400726E1,6.223416540E1,3.247642219E-1,2.037875322E2,2.027089098E-1,2.500000000E1,3.000000000E0,-1.000000000E0
9.600791979E1,4.483389223E1,-5.721635125E-1,1.533400726E1,6.223417809E1,6.476653814E-1,2.080622334E2,2.040939330E-1,2.500000000E1,3.000000000E0,-1.000000000E0
9.700791252E1,4.483388809E1,-5.721800820E-1,1.533400726E1,6.223419016E1,9.894348383E-1,2.060555374E2,2.054945428E-1,2.500000000E1,3.000000000E0,-1.000000000E0
9.800790441E1,4.483388245E1,-5.721959597E-1,1.533400726E1,6.223420157E1,9.894348383E-1,2.170628517E2,2.068329238E-1,2.500000000E1,3.000000000E0,-1.000000000E0
9.900789738E1,4.483388523E1,-5.722124725E-1,1.533400726E1,6.223421419E1,8.592496514E-1,2.062685164E2,2.087545774E-1,2.500000000E1,3.000000000E0,-1.000000000E0
1.000078893E2,4.483387894E1,-5.722351674E-1,1.533400726E1,6.223423067E1,8.592496514E-1,1.701527983E2,2.124850306E-1,2.500000000E1,3.000000000E0,-1.000000000E0
1.010078820E2,4.483385743E1,-5.722714802E-1,1.533400726E1,6.223425604E1,8.176779747E-1,1.724872204E2,2.142243576E-1,2.500000000E1,3.000000000E0,-1.000000000E0
1.020078741E2,4.483384627E1,-5.722869336E-1,1.533400726E1,6.223426666E1,5.592216849E-1,1.731673706E2,2.167171825E-1,2.500000000E1,3.000000000E0,-1.000000000E0
1.030078660E2,4.483382882E1,-5.723067725E-1,1.533400726E1,6.223428003E1,1.043788791E0,1.704411006E2,2.182590536E-1,2.500000000E1,3.000000000E0,-1.000000000E0
1.040078590E2,4.483381522E1,-5.723105990E-1,1.533400726E1,6.223428173E1,1.043788791E0,1.658900909E2,2.205122201E-1,2.500000000E1,3.000000000E0,-1.000000000E0
1.050078512E2,4.483379824E1,-5.723262029E-1,1.533400726E1,6.223429197E1,1.049258471E0,1.672917550E2,2.218415965E-1,2.500000000E1,3.000000000E0,-1.000000000E0
1.060078442E2,4.483379180E1,-5.723404019E-1,1.533400726E1,6.223430206E1,1.049258471E0,1.779812606E2,2.235064680E-1,2.500000000E1,3.000000000E0,-1.000000000E0
1.070078366E2,4.483377905E1,-5.723514805E-1,1.533400726E1,6.223430927E1,5.939883590E-1,1.790731483E2,2.244077551E-1,2.500000000E1,3.000000000E0,-1.000000000E0
1.080078282E2,4.483377096E1,-5.723522492E-1,1.533400726E1,6.223430915E1,6.620666981E-1,1.766335004E2,2.262767473E-1,2.500000000E1,3.000000000E0,-1.000000000E0
1.090078212E2,4.483375424E1,-5.723546262E-1,1.533400726E1,6.223430949E1,6.620666981E-1,1.814200970E2,2.271591856E-1,2.500000000E1,3.000000000E0,-1.000000000E0
1.100078132E2,4.483374823E1,-5.723473159E-1,1.533400726E1,6.223430349E1,6.620666981E-1,1.808547759E2,2.286497129E-1,2.500000000E1,3.000000000E0,-1.000000000E0
1.110078057E2,4.483375382E1,-5.723301326E-1,1.533400726E1,6.223429109E1,8.480288982E-1,1.831603882E2,2.295922653E-1,2.500000000E1,3.000000000E0,-1.000000000E0
1.120077981E2,4.483374604E1,-5.723253801E-1,1.533400726E1,6.223428685E1,1.115801334E0,1.864828927E2,2.304349393E-1,2.500000000E1,3.000000000E0,-1.000000000E0
1.130077901E2,4.483373848E1,-5.723247288E-1,1.533400726E1,6.223428571E1,1.115801334E0,1.850662022E2,2.314487633E-1,2.500000000E1,3.000000000E0,-1.000000000E0
1.140077823E2,4.483372949E1,-5.723225506E-1,1.533400726E1,6.223428331E1,9.569072723E-1,1.798147020E2,2.336362797E-1,2.500000000E1,3.000000000E0,-1.000000000E0
1.150077747E2,4.483370993E1,-5.723255600E-1,1.533400726E1,6.223428388E1,9.569072723E-1,1.859578971E2,2.352460833E-1,2.500000000E1,3.000000000E0,-1.000000000E0
1.160077674E2,4.483369549E1,-5.723269920E-1,1.533400726E1,6.223428371E1,9.590041637E-1,1.883411276E2,2.368519061E-1,2.500000000E1,3.000000000E0,-1.000000000E0
1.170077603E2,4.483368127E1,-5.723305079E-1,1.533400726E1,6.223428512E1,1.209895849E0,1.823254659E2,2.387621027E-1,2.500000000E1,3.000000000E0,-1.000000000E0
1.180077519E2,4.483366442E1,-5.723257938E-1,1.533400726E1,6.223428013E1,1.209895849E0,1.752931167E2,2.405790085E-1,2.500000000E1,3.000000000E0,-1.000000000E0
1.190077444E2,4.483364920E1,-5.723174143E-1,1.533400726E1,6.223427254E1,1.049594998E0,1.770222611E2,2.421874965E-1,2.500000000E1,3.000000000E0,-1.000000000E0
1.200077372E2,4.483363655E1,-5.723273193E-1,1.533400726E1,6.223427888E1,9.863329530E-1,1.768530227E2,2.438126282E-1,2.500000000E1,3.000000000E0,-1.000000000E0
1.210077299E2,4.483362207E1,-5.723245389E-1,1.533400726E1,6.223427554E1,9.206542969E-1,1.709821472E2,2.454667402E-1,2.500000000E1,3.000000000E0,-1.000000000E0
1.220077218E2,4.483360723E1,-5.723259784E-1,1.533400726E1,6.223427534E1,1.157623291E0,1.749837092E2,2.480083053E-1,2.500000000E1,3.000000000E0,-1.000000000E0
1.230077146E2,4.483359411E1,-5.723523714E-1,1.533870735E1,6.223899409E1,1.157623291E0,1.700179704E2,2.493807256E-1,2.500000000E1,3.000000000E0,-1.000000000E0
1.240077065E2,4.483358193E1,-5.723495527E-1,1.536028828E1,6.226057186E1,1.157623291E0,1.693108819E2,2.517439103E-1,2.500000000E1,3.000000000E0,-1.000000000E0
1.250076993E2,4.483356094E1,-5.723542946E-1,1.537997643E1,6.228026176E1,1.264280319E0,1.760094533E2,2.535354191E-1,2.500000000E1,3.000000000E0,-1.000000000E0
1.260076915E2,4.483354502E1,-5.723507955E-1,1.541588613E1,6.231616746E1,1.421420693E0,1.788041345E2,2.557738554E-1,2.500000000E1,3.000000000E0,-1.000000000E0
1.270076842E2,4.483352518E1,-5.723460588E-1,1.544130213E1,6.234157820E1,1.315530419E0,1.722697335E2,2.574738851E-1,2.500000000E1,3.000000000E0,-1.000000000E0
1.280076758E2,4.483351114E1,-5.723375167E-1,1.546886509E1,6.236913355E1,1.315530419E0,1.698946308E2,2.585640333E-1,2.500000000E1,3.000000000E0,-1.000000000E0
1.290076691E2,4.483350374E1,-5.723284486E-1,1.548193480E1,6.238219582E1,1.157449484E0,1.720755103E2,2.599473950E-1,2.500000000E1,3.000000000E0,-1.000000000E0
1.300076612E2,4.483349623E1,-5.723144635E-1,1.548183758E1,6.238208747E1,1.157449484E0,1.777735273E2,2.614597821E-1,2.500000000E1,3.000000000E0,-1.000000000E0
1.310076536E2,4.483348279E1,-5.723115380E-1,1.547239335E1,6.237263988E1,1.157449484E0,1.752520673E2,2.629233163E-1,2.500000000E1,3.000000000E0,-1.000000000E0
1.320076452E2,4.483346967E1,-5.723131068E-1,1.548153232E1,6.238177890E1,1.319673061E0,1.745543498E2,2.642432308E-1,2.500000000E1,3.000000000E0,-1.000000000E0
1.330076379E2,4.483345803E1,-5.723098443E-1,1.549869912E1,6.239894224E1,1.455851316E0,1.746121879E2,2.662704438E-1,2.500000000E1,3.000000000E0,-1.000000000E0
1.340076305E2,4.483343983E1,-5.723113444E-1,1.550693206E1,6.240717474E1,1.319673061E0,1.758222652E2,2.671719737E-1,2.500000000E1,3.000000000E0,-1.000000000E0
1.350076231E2,4.483343172E1,-5.723113121E-1,1.552935379E1,6.242959575E1,9.951305985E-1,1.763560991E2,2.687669877E-1,2.500000000E1,3.000000000E0,-1.000000000E0
1.360076154E2,4.483341968E1,-5.723223056E-1,1.553995587E1,6.244020504E1,9.951305985E-1,1.739474056E2,"",2.500000000E1,3.000000000E0,-1.000000000E0
1.370076075E2,4.483340338E1,-5.723466761E-1,1.557807434E1,6.247834038E1,8.333337903E-1,1.620381511E2,"",2.500000000E1,3.000000000E0,-1.000000000E0
